years,methane.FossilGas,methane.UpgradingBiogas,hydrogen.gaseous_hydrogen.WaterGasShift,hydrogen.gaseous_hydrogen.Electrolysis.SOEC,hydrogen.gaseous_hydrogen.Electrolysis.PEM,hydrogen.gaseous_hydrogen.Electrolysis.AWE,hydrogen.gaseous_hydrogen.PlasmaCracking,biogas.AnaerobicDigestion,syngas.BiomassGasification,syngas.SMR,syngas.CoalGasification,syngas.Pyrolysis,syngas.AutothermalReforming,syngas.CoElectrolysis,fuel.liquid_fuel.Refinery,fuel.liquid_fuel.FischerTropsch,fuel.hydrotreated_oil_fuel.HefaDecarboxylation,fuel.hydrotreated_oil_fuel.HefaDeoxygenation,solid_fuel.CoalExtraction,solid_fuel.Pelletizing,biomass_dry.ManagedWood,biomass_dry.UnmanagedWood,biomass_dry.CropEnergy,electricity.WindOffshore,electricity.WindOnshore,electricity.SolarPv,electricity.SolarThermal,electricity.Hydropower,electricity.Nuclear,electricity.CombinedCycleGasTurbine,electricity.GasTurbine,electricity.BiogasFired,electricity.Geothermal,electricity.CoalGen,electricity.OilGen,electricity.BiomassFired,fuel.biodiesel.Transesterification,hydrogen.liquid_hydrogen.HydrogenLiquefaction,carbon_capture.direct_air_capture.AmineScrubbing,carbon_capture.direct_air_capture.CalciumPotassiumScrubbing,carbon_capture.flue_gas_capture.CalciumLooping,carbon_capture.flue_gas_capture.ChilledAmmoniaProcess,carbon_capture.flue_gas_capture.CO2Membranes,carbon_capture.flue_gas_capture.MonoEthanolAmine,carbon_capture.flue_gas_capture.PiperazineProcess,carbon_capture.flue_gas_capture.PressureSwingAdsorption,carbon_storage.BiomassBuryingFossilization,carbon_storage.DeepOceanInjection,carbon_storage.DeepSalineFormation,carbon_storage.DepletedOilGas,carbon_storage.EnhancedOilRecovery,carbon_storage.GeologicMineralization,carbon_storage.PureCarbonSolidStorage
2020.0,19.235832177098818,27.376208765419328,1e-06,3.1384398946402032,20.92889261700037,1.4448324900856775,6.978681999286724,1.144,33.17659485127938,53.50796946006585,0.8490772936477244,0.7099862590505004,101.89494873200486,26.06117347961621,214.99968904435224,21.8017980891094,89.28037249318996,90.6836443026151,6.701443938150169,215.7419988659814,97.02019558566433,1e-06,2.9389209577507454,39.327192194059535,144.28753544078504,68.97925880664819,51.04186639182599,78.1149928062356,68.21776087949313,80.71217054977254,89.00533697851829,64.20426918789516,22.36738373176872,41.247152653842726,1e-06,36.9515941520834,1e-06,226.80314260771624,5.549539561891467,0.5830772826527043,116.95517063427272,105.34869571332996,20.0388013772144,60.09843415071936,125.14325959132276,72.69139162398905,251.33017261205524,27.36474857098396,27.897892346026808,27.897892346026808,5.252239168936273,2.2295179509672223,1e-06
2021.0,15.849837871102462,29.371902042402432,3.4092465170875523,2.7300088678386745,17.244876294769593,1.190528338103185,10.41995357101863,1.5905903620264463,32.063587173358776,55.66400222449624,0.8267274276737538,0.7249325422010926,94.07711589543412,26.306349487878155,194.571640034939,34.1415907444596,74.0271304730294,74.99550525782695,5.580645838884656,191.42491367518525,106.91953813174024,1e-06,2.421596424172062,54.59895726278584,200.31811430143497,96.49176598083372,44.48776443878708,82.9623447112792,63.48760895709503,74.51472413350308,74.5559596195699,57.49353040684112,58.66260144538903,36.008030493285446,1e-06,33.65160483188477,0.2534847173665717,200.8697131624743,4.719259230667015,1.861972304400913,107.08700369593446,96.586732992837,21.55185475572495,56.15262499342043,114.99276274417676,66.65228029497614,212.6168255985347,31.77989549179709,32.404174130668665,32.404174130668665,5.831057919283182,3.08105218664495,0.0265229522335048
2022.0,12.886508216937642,31.260026785725984,6.686841399257808,2.3875438361730814,14.02072331373267,0.9681082244743592,13.145960145195474,1.987377851570444,31.1599090200982,56.80727557092247,0.7993631544575419,0.7287079672943731,87.40603928692143,26.57953105006848,176.97808794808387,44.71603413905425,60.68293241256157,61.24748863407521,4.715406157942236,170.12420163262698,115.29345774982842,1e-06,1.9688477685713,67.46330011981527,247.51610180959028,119.95607905514002,38.88160754802286,87.55309261140711,59.51030820741447,68.98522230703077,61.99128166268522,51.367004677073865,90.25091601049944,31.28846026780419,1e-06,30.56859895540355,0.9736713078629324,177.6850976668319,4.283401305883481,3.314760532255291,98.43008358735014,88.92520679110262,23.046264461308063,52.7780059900601,106.06270113278184,61.48241631412541,178.5625791809782,35.7280171869263,36.43401722814242,36.43401722814242,6.424699481600992,3.881909573803489,0.1027931105308177
2023.0,10.31766807322264,33.043217734680965,9.839472104094297,2.115322197005692,11.225776117810014,0.7755929495039828,15.214408393038212,2.3375086339791142,30.450239756999647,57.03692344004871,0.7682806941407243,0.722378110576524,81.80867044618667,26.877235503861822,162.04300735373312,53.644039014652726,49.11998927083378,49.31096383735349,4.081895167894626,151.63653539538657,122.21830870256473,1e-06,1.5763699324165985,78.0958750493978,286.52595596873556,139.65797211423632,34.15687343677988,91.85850417243364,56.22877681237178,64.07555365723229,51.18396287728786,45.79422761980507,117.44522102178112,27.058440478200705,1e-06,27.6950515442688,2.100163929084051,157.08207726543296,4.2028249498116494,4.922009772612107,90.90283644449616,82.289584180633,24.519354564479976,49.93567663567305,98.27136908937132,57.12083030130182,148.86747131804358,39.235745111707,40.01433455827773,40.01433455827773,7.02756863516434,4.633720704098401,0.2238679272871364
2024.0,8.11514229857573,34.72410962855838,12.873825089180531,1.9176213476987745,8.829377150922031,0.6110033134968396,16.68300498576781,2.644128874599584,29.91925874956513,56.45207977257922,0.734776266864937,0.7070085482937265,77.21196091294975,27.1959801869328,149.590372821833,61.04451611301443,39.21051200689329,39.05730027365535,3.656283141313542,135.75858762054406,127.77044525258508,1e-06,1.239857857176096,86.67233633578346,317.9921347823559,155.8832192427918,30.24703982230468,95.849847060173,53.58593295388734,59.737606770984286,42.00666303280139,40.74473485624642,140.55841007391507,23.287969625276723,1e-06,25.023437620109537,3.5725657386248946,138.89343310292168,4.43838932472231,6.664287831867627,84.42368840334873,76.60533223393426,25.96844913575693,47.58673642529388,91.53706094617844,53.50655287637032,123.23153996838865,42.32971072147456,43.172039040904274,43.172039040904274,7.634070159247858,5.338116169185255,0.3848038548976585
2025.0,6.250755751615201,36.30533720664922,15.79658681210004,1.7987186856145947,6.800868856989134,0.4723601167577126,17.609456594605227,2.910384738778977,29.551645363296664,55.15187850921816,0.7001460927718155,0.6836648566921628,73.54286222693057,27.53228243695604,139.44415892232976,67.03637617589877,30.82671157978739,30.35786734897441,3.414740350770697,122.28703096517934,132.02622166252542,1.0000000000000002e-06,0.95500648431793,93.36833826322218,342.5590962539359,168.91759452547578,27.08558442184379,99.49838894043948,51.524694813881496,55.92327023516338,34.33204189864943,36.18806200760957,159.90337676158242,19.94704620983399,1.0000000000000002e-06,22.54623220455483,5.330479894080433,122.95194632394217,4.950953592886249,8.522162516418122,78.91106559988415,71.7979180235126,27.390872245655185,45.69228485395726,85.77807103543644,50.578614659195765,101.35482309067125,45.03654547156438,45.93404359585168,45.93404359585168,8.238608833126182,5.996726560719615,0.5806573457575819
2026.0,4.6963332909593305,37.78953520824448,18.61444373043636,1.7628916081154216,5.109593679931732,0.3576841595913854,18.051469890771425,3.139422391864418,29.332078963696247,53.235453590669806,0.6656863920029958,0.6534126120180146,70.72832592784903,27.88265959160618,131.42834022516976,71.73852994506511,23.840798948563386,23.084034469304243,3.3334370688378088,111.01853808637247,135.06199219502165,1.0000000000000002e-06,0.7175107553102406,98.35953511596404,360.87129838696046,179.04687204695747,24.605984952643745,102.77539747904736,49.98798057427459,52.584432636646206,28.03275924425555,32.09374469510624,175.7930146794643,17.005668732674238,1.0000000000000002e-06,20.255910319233728,7.313509553045637,109.0903980731384,5.701376916574249,10.476201632659858,74.28339417007875,67.79280862187423,28.783947964690963,44.21342141669782,80.91269368937861,48.27604626964314,82.93735864354919,47.38288081731187,48.32726114294962,48.32726114294962,8.835589436073954,6.611182470357049,0.8064848522621043
2027.0,3.4236997752264,39.17933837263513,21.33408230177298,1.8144175125635216,3.724894063670232,0.2649962423026412,18.06675154548736,3.33438799920303,29.24523891626588,50.80193895763831,0.6326933847001135,0.6173173905174634,68.69530355542499,28.24362898855784,125.36689130029924,75.26988816227285,18.12498507226854,17.10717104063844,3.3885435680865887,101.74978164120338,136.95411111270965,1e-06,0.5230656116211653,101.82158117825892,373.57319918491413,186.556825891906,22.741719131951072,105.65214034181083,48.91870841698697,49.6729825623094,22.98147483904335,28.431318539948084,188.54021742224185,14.433835694599203,1e-06,18.144946985775263,9.46125787311547,97.14156949515451,6.650518458057095,12.506972986989098,70.45910024990879,64.51547110152528,30.145000363380493,43.1112456085502,76.85922324023824,46.5378783275773,67.67918458568026,49.395348214052376,50.378604602027735,50.378604602027735,9.4194167473658,7.183114489753113,1.0573428268064229
2028.0,2.4046800630346894,40.477381439112186,23.962188983693466,1.9575737963211624,2.616112452125046,0.1923171651962635,17.713008229973997,3.4984277261419385,29.275804586507565,47.95046855082791,0.6024632910048044,0.5764447684366912,67.37074664937833,28.61170796548565,121.0837867176644,77.7493615692814,13.551480909950158,12.298646468970604,3.5562301210887552,94.2774342867521,137.77893267822532,9.999999999999995e-07,0.3673659947188432,103.9301307343569,381.309256651282,191.7332301449908,21.426264677012323,108.09988519454429,48.25979652393903,47.14080859902962,19.05084845243641,25.170319163346782,198.457878584596,12.201545596410632,9.999999999999995e-07,16.2058172258085,11.713328011884904,86.93824173463453,7.759237379605577,14.595044385802115,67.35660997535055,61.89137253497196,31.47135351224005,42.34685692454904,73.5359540202486,45.303141452863215,55.28033887572233,51.10057911712135,52.114986892915695,52.114986892915695,9.984495546276356,7.714153210563383,1.328287721785736
2029.0,1.6110990130024818,41.68629914696664,26.505450233781303,2.196637856750612,1.7525912892165838,0.1376677285770354,17.0479466154523,3.634687738028268,29.40845533992333,44.780176310942814,0.5762923310587045,0.5318603220218799,66.68160674942901,28.983413860064225,118.4030010472116,79.29586090785013,9.99249742065552,8.529830160294324,3.812667000416021,88.39816868009858,137.61281115420462,1e-06,0.2461068460714125,104.86083806850795,384.7239287895487,194.861858890881,20.593099305074016,110.08989970306185,47.95416307705108,44.93979933368349,16.113539853858338,22.28028218651402,205.858891761208,10.278796938910263,1e-06,14.430996060962467,14.0093231269489,78.3131959362226,8.988392843490479,16.720983635495177,64.89434948238036,59.84597999472045,32.760331481785855,41.881354859728994,70.86118036164291,44.51086626536578,45.4408594723332,52.52520498185415,53.56332093544315,53.56332093544315,10.525230612080264,8.205929224443418,1.6143759895952408
